              k             kx             ky
          1.275          0.547          0.000        -16.131        -11.700         -6.968         -3.425          4.661          8.624         12.219         17.662
          1.281          0.540          0.000        -16.177        -11.601         -6.946         -3.488          4.778          8.611         12.147         17.696
          1.288          0.533          0.000        -16.223        -11.501         -6.923         -3.551          4.898          8.598         12.071         17.732
          1.295          0.527          0.000        -16.269        -11.397         -6.899         -3.616          5.022          8.582         11.993         17.772
          1.301          0.520          0.000        -16.315        -11.291         -6.874         -3.681          5.149          8.565         11.910         17.814
          1.308          0.513          0.000        -16.361        -11.183         -6.847         -3.748          5.279          8.546         11.825         17.861
          1.315          0.507          0.000        -16.406        -11.073         -6.819         -3.815          5.413          8.526         11.736         17.911
          1.321          0.500          0.000        -16.452        -10.961         -6.790         -3.882          5.550          8.503         11.644         17.964
          1.328          0.493          0.000        -16.496        -10.846         -6.760         -3.949          5.689          8.478         11.549         18.022
          1.335          0.487          0.000        -16.541        -10.730         -6.729         -4.017          5.831          8.452         11.451         18.084
          1.341          0.480          0.000        -16.585        -10.613         -6.697         -4.085          5.975          8.422         11.350         18.150
          1.348          0.473          0.000        -16.628        -10.493         -6.663         -4.153          6.121          8.391         11.247         18.220
          1.355          0.467          0.000        -16.671        -10.373         -6.629         -4.221          6.270          8.357         11.140         18.295
          1.361          0.460          0.000        -16.713        -10.250         -6.593         -4.289          6.420          8.321         11.031         18.375
          1.368          0.453          0.000        -16.754        -10.127         -6.556         -4.356          6.573          8.282         10.919         18.459
          1.375          0.447          0.000        -16.795        -10.002         -6.517         -4.423          6.727          8.241         10.805         18.548
          1.381          0.440          0.000        -16.835         -9.876         -6.478         -4.490          6.882          8.197         10.689         18.642
          1.388          0.433          0.000        -16.874         -9.749         -6.438         -4.556          7.039          8.151         10.570         18.740
          1.395          0.427          0.000        -16.913         -9.620         -6.396         -4.622          7.197          8.102         10.449         18.844
          1.401          0.420          0.000        -16.951         -9.491         -6.353         -4.687          7.356          8.050         10.326         18.953
          1.408          0.413          0.000        -16.988         -9.361         -6.309         -4.751          7.516          7.996         10.201         19.067
          1.415          0.407          0.000        -17.025         -9.231         -6.264         -4.815          7.677          7.939         10.073         19.186
          1.421          0.400          0.000        -17.060         -9.099         -6.218         -4.879          7.839          7.879          9.945         19.310
